,xtb,wig,spx,gld,oil,usd,vix
2016-05-06,12.05066,46663.67,2057.14,1290.55,44.61,0.8771100000000001,14.72
2016-05-09,12.000210000000001,46628.94,2058.69,1265.0,43.27,0.8786,14.57
2016-05-10,11.94016,46178.72,2084.39,1267.45,44.52,0.87946,13.63
2016-05-11,12.05066,46053.07,2064.46,1278.8,45.99,0.87524,14.69
2016-05-12,12.15035,46022.02,2064.11,1264.75,46.44,0.8791100000000001,14.41
2016-05-13,12.40018,46063.67,2046.61,1274.6,46.38,0.88403,15.04
2016-05-16,12.99953,46825.77,2066.66,1275.0,47.96,0.88375,14.68
2016-05-17,12.99953,46711.75,2047.21,1280.35,48.6,0.8839600000000001,15.57
2016-05-18,13.57966,46609.83,2047.63,1259.0,47.88,0.89145,15.95
2016-05-19,13.90035,45751.68,2040.04,1255.4,48.77,0.8929799999999999,16.33
2016-05-20,14.300320000000001,45784.76,2052.32,1252.7,48.45,0.89146,15.2
2016-05-23,14.00125,46042.23,2048.04,1249.35,48.11,0.89128,15.82
2016-05-24,14.19943,46275.18,2076.06,1227.2,49.12,0.8975700000000001,14.42
2016-05-25,15.00056,46695.37,2090.54,1224.5,49.72,0.8964,13.9
2016-05-27,14.89967,46634.55,2099.06,1212.45,49.59,0.8999799999999999,13.12
2016-05-31,14.690679999999999,45844.15,2096.96,1217.65,48.86,0.8985,14.19
2016-06-01,14.40121,44700.67,2099.33,1215.0,48.94,0.89395,14.2
2016-06-02,13.919570000000002,44772.72,2105.26,1213.0,49.05,0.89664,13.63
2016-06-03,14.00125,45523.93,2099.13,1246.85,48.86,0.8806200000000001,13.47
2016-06-06,14.00125,45582.8,2109.41,1247.65,49.73,0.88039,13.65
2016-06-07,14.00125,46365.69,2112.13,1246.3,50.41,0.8804799999999999,14.05
2016-06-08,13.650529999999998,46551.54,2119.12,1265.0,51.51,0.8774700000000001,14.08
2016-06-09,13.699770000000001,45940.12,2115.48,1272.15,50.42,0.8835700000000001,14.64
2016-06-10,13.79946,45348.2,2096.07,1276.6,48.91,0.8886299999999999,17.030001000000002
2016-06-13,13.699770000000001,45117.85,2079.06,1286.5,48.55,0.8858799999999999,20.969998999999998
2016-06-14,13.699770000000001,44729.08,2075.32,1288.0,47.94,0.89233,20.5
2016-06-15,13.590470000000002,44916.52,2071.5,1294.5,47.48,0.8878799999999999,20.139999
2016-06-16,13.490779999999999,44007.81,2077.99,1281.0,46.02,0.89041,19.370001000000002
2016-06-17,13.699770000000001,44606.86,2071.22,1301.75,48.26,0.88655,19.41
2016-06-20,13.749020000000002,45344.03,2083.25,1292.5,49.8,0.88403,18.370001000000002
2016-06-21,13.849910000000001,45782.01,2088.9,1270.5,50.19,0.8889,18.48
2016-06-22,14.00125,46196.74,2085.45,1268.5,48.99,0.88241,21.17
2016-06-23,14.19943,46826.85,2113.32,1257.0,50.17,0.8757799999999999,17.25
2016-06-24,14.3892,44773.75,2037.41,1318.5,47.56,0.9019799999999999,25.76
2016-06-27,15.00056,44045.53,2000.54,1327.5,46.61,0.9073700000000001,23.85
2016-06-28,14.89006,44613.59,2036.09,1314.5,48.11,0.90269,18.75
2016-06-29,14.8204,44807.16,2070.77,1321.5,49.53,0.8987200000000001,16.639999
2016-06-30,15.101460000000001,44748.53,2098.86,1323.5,48.37,0.90065,15.63
2016-07-01,14.94051,44754.05,2102.95,1344.1,49.27,0.89828,14.77
2016-07-05,14.690679999999999,44118.09,2088.55,1358.3,46.86,0.90369,15.58
2016-07-06,14.4997,43549.58,2099.73,1365.7,47.91,0.9013100000000001,14.96
2016-07-07,14.570570000000002,44077.16,2097.9,1361.5,45.21,0.90395,14.76
2016-07-08,14.700289999999999,44024.66,2129.9,1367.55,45.16,0.90484,13.2
2016-07-11,14.839620000000002,44875.62,2137.16,1355.5,44.55,0.90412,13.54
2016-07-12,14.839620000000002,45140.51,2152.14,1333.5,46.62,0.90379,13.55
2016-07-13,14.690679999999999,45017.78,2152.43,1343.2,45.12,0.90125,13.04
2016-07-14,14.72071,45246.26,2163.75,1335.0,45.49,0.8998299999999999,12.82
2016-07-15,14.690679999999999,45540.6,2161.74,1337.9,46.29,0.9034,12.67
2016-07-18,14.67867,46118.19,2166.89,1329.0,45.94,0.90297,12.44
2016-07-19,14.189820000000001,46251.65,2163.78,1332.2,45.44,0.90761,11.97
2016-07-20,14.099739999999999,46504.82,2173.02,1315.5,45.66,0.9082399999999999,11.77
2016-07-21,14.48049,46639.17,2165.17,1331.0,44.53,0.90694,12.74
2016-07-22,14.359179999999999,46541.69,2175.03,1322.0,44.23,0.9112600000000001,12.02
2016-07-25,14.260689999999999,47026.01,2168.48,1323.2,43.05,0.90961,12.87
2016-07-26,14.54895,46905.6,2169.18,1327.7,42.69,0.9103700000000001,13.05
2016-07-27,14.00125,46803.82,2166.58,1347.85,41.89,0.9045799999999999,12.83
2016-07-28,14.189820000000001,46718.98,2170.06,1342.15,41.11,0.9028,12.72
2016-07-29,13.99044,46171.72,2173.6,1358.05,41.45,0.8945200000000001,11.87
2016-08-01,13.970020000000002,46221.38,2170.84,1359.8,40.06,0.89576,12.44
2016-08-02,13.89075,47031.7,2157.03,1370.3,39.7,0.8911100000000001,13.37
2016-08-03,13.74061,46762.24,2163.79,1364.3,41.16,0.8968799999999999,12.86
2016-08-04,13.78024,47407.09,2164.25,1367.65,41.81,0.8985700000000001,12.42
2016-08-05,13.549629999999999,47604.22,2182.87,1341.95,41.99,0.90196,11.39
2016-08-08,13.380279999999999,47910.99,2180.89,1341.2,42.83,0.90205,11.5
