Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2019-12-09,19,19.125,19,19.125,1
2019-12-10,19.9,19.9,19.45,19.45,1,1
2019-12-11,19.475,19.475,19.475,19.475
2019-12-12,19,19.2,19,19.125,4,4
2019-12-13,19.4,19.4,18.975,18.975,16,20
2019-12-16,18.675,18.675,18.675,18.675
2019-12-17,18.99,19.07,18.8,18.825,36,54
2019-12-18,18.95,19.15,18.75,18.75,182,234
2019-12-19,18.93,19.05,18.75,18.75,34,267
2019-12-20,18.87,18.87,18.75,18.75,13,280
2019-12-23,18.92,18.92,18.75,18.75,57,280
2019-12-24,18.81,18.94,18.7,18.725,60,377
2019-12-26,18.83,18.88,18.7,18.7,121,465
2019-12-27,18.76,18.85,18.7,18.75,37,488
2019-12-30,18.8,19,18.71,18.95,254,488
2019-12-31,18.89,19.1,18.8,18.8,131,682
2020-01-02,18.96,18.96,18.65,18.675,82,745
2020-01-03,18.85,18.85,18.77,18.775,8,748
2020-01-06,19,19,18.7,18.7,44,775
2020-01-07,18.82,18.87,18.65,18.85,23,792
2020-01-08,19.1,19.15,18.575,18.575,120,1863
2020-01-09,18.74,18.74,18.52,18.525,294,2294
2020-01-10,18.42,18.6,18.39,18.55,117,2406
2020-01-13,18.42,18.5,18.3,18.325,113,2513
2020-01-14,18.35,18.4,18.15,18.175,47
2020-01-15,18.3,18.35,18.1,18.1,69,2637
2020-01-16,18.25,18.25,17.975,17.975,67,2664
2020-01-17,18,18,17.8,17.825,1,2716
2020-01-21,17.8,17.9,17.75,17.8,68,2708
2020-01-22,17.7,17.75,17.65,17.725,64,2751
2020-01-23,17.88,17.99,17.7,17.8,167,2889
2020-01-24,17.84,18,17.77,17.9,73,2924
2020-01-27,18.22,18.22,18.08,18.15,59,2958
2020-01-28,18.25,18.25,18,18.075,130,3077
2020-01-29,18.02,18.15,17.99,18.15,182,3228
2020-01-30,18.2,18.25,17.95,17.95,81,3274
2020-01-31,18.1,18.3,18.09,18.2,64,3316
2020-02-03,18.2,18.2,18.12,18.15,233,3524
2020-02-04,18.1,18.14,17.9,17.975,185,3678
2020-02-05,17.9,17.925,17.85,17.925,76,3723
2020-02-06,17.85,17.92,17.8,17.825,72,3776
