Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-05-06,11.551,12.06027,11.51977,12.05066,1438491
2016-05-09,12.05066,12.06988,11.82965,12.00021,309574
2016-05-10,11.97018,12.00021,11.82005,11.94016,31579
2016-05-11,11.8789,12.05066,11.69994,12.05066,172942
2016-05-12,12.05066,12.28968,12.00021,12.15035,318552
2016-05-13,12.2104,12.40018,12.10951,12.40018,142157
2016-05-16,12.40018,13.20011,12.29929,12.99953,132453
2016-05-17,13.14006,13.14006,12.95148,12.99953,405542
2016-05-18,13.11003,13.69977,13.11003,13.57966,123426
2016-05-19,13.301,13.90035,13.20011,13.90035,53700
2016-05-20,13.90035,14.30032,13.65053,14.30032,55208
2016-05-23,14.24988,14.24988,13.60008,14.00125,36942
2016-05-24,13.84991,14.48049,12.85059,14.19943,96938
2016-05-25,14.19943,15.00056,13.84991,15.00056,32081
2016-05-27,15.00056,15.00056,14.4997,14.89967,4771
2016-05-30,14.70029,15.40053,14.51051,14.89006,66309
2016-05-31,14.97894,14.97894,14.41923,14.69068,42707
2016-06-01,14.69068,14.70029,13.90035,14.40121,18166
2016-06-02,14.35077,14.35077,13.91957,13.91957,5752
2016-06-03,13.79946,14.00125,13.33103,14.00125,8517
2016-06-06,14.35077,14.35077,13.65053,14.00125,2452
2016-06-07,13.81988,14.00125,13.62891,14.00125,52284
2016-06-08,14.00125,14.00125,13.65053,13.65053,1519
2016-06-09,13.51961,13.72019,13.51961,13.69977,4896
2016-06-10,13.60008,13.79946,13.48117,13.79946,14587
2016-06-13,13.79946,13.79946,13.49919,13.69977,11137
2016-06-14,13.49919,13.69977,13.35986,13.69977,16901
2016-06-15,13.46916,13.59047,13.46916,13.59047,56793
2016-06-16,13.3995,13.49919,13.35986,13.49078,22189
2016-06-17,13.35986,13.69977,13.35986,13.69977,21710
2016-06-20,13.5112,13.74902,13.49919,13.74902,17102
2016-06-21,13.79946,13.90035,13.5112,13.84991,20887
2016-06-22,13.84991,14.18982,13.84991,14.00125,25443
2016-06-23,14.00125,14.19943,13.81027,14.19943,8252
2016-06-24,13.49919,14.4997,13.33103,14.3892,110310
2016-06-27,14.3892,15.00056,14.00125,15.00056,69422
2016-06-28,14.61021,15.46899,14.61021,14.89006,33227
2016-06-29,14.89006,14.89006,14.75073,14.8204,32166
2016-06-30,14.97894,15.10146,14.51051,15.10146,92098
2016-07-01,14.91048,14.95012,14.86004,14.94051,985
2016-07-04,14.89006,15.00056,14.51051,15.00056,8078
2016-07-05,14.78076,14.79878,14.67867,14.69068,31577
2016-07-06,14.64023,14.64023,14.24988,14.4997,108336
2016-07-07,14.35918,14.57898,14.35918,14.57057,1305
2016-07-08,14.40962,14.70029,14.40962,14.70029,711
2016-07-11,14.97894,14.97894,14.51051,14.83962,2507
2016-07-12,14.70029,14.83962,14.4997,14.83962,21774
2016-07-13,14.70029,14.97174,14.00845,14.69068,35946
2016-07-14,14.75073,14.75073,14.54895,14.72071,19204
2016-07-15,14.83962,14.83962,14.31954,14.69068,10831
2016-07-18,14.67867,14.67867,14.40962,14.67867,62334
2016-07-19,14.67026,14.67867,14.08052,14.18982,297257
2016-07-20,14.28951,14.28951,14.09974,14.09974,8773
